Datum;DeltaAnzahlVortag;DeltaGeheiltVortag;DeltaTotVortag;DeltaAktivVortag;DeltaTestGesamtVortag
16.10.2021 00:00:00;2150;1731;16;403;321818
17.10.2021 00:00:00;2000;1788;15;197;298128
18.10.2021 00:00:00;2730;1731;6;993;248407
19.10.2021 00:00:00;3987;2310;11;1666;364890
20.10.2021 00:00:00;3625;1874;10;1741;335375
21.10.2021 00:00:00;3481;1829;11;1641;455165
22.10.2021 00:00:00;3709;2039;8;1662;284844
23.10.2021 00:00:00;3535;2068;11;1456;315989
24.10.2021 00:00:00;2799;1950;16;833;314239
25.10.2021 00:00:00;3452;2207;10;1235;245796
26.10.2021 00:00:00;4491;2891;17;1583;354029
27.10.2021 00:00:00;4316;2470;15;1831;268599
28.10.2021 00:00:00;5947;2571;11;3365;451995
29.10.2021 00:00:00;5989;2892;9;3088;312927
30.10.2021 00:00:00;5644;2839;16;2789;338420
31.10.2021 00:00:00;4803;2775;13;2015;340861
01.11.2021 00:00:00;5288;3241;18;2029;276500
02.11.2021 00:00:00;6588;3888;17;2683;306382
03.11.2021 00:00:00;8986;3340;25;5621;581327
04.11.2021 00:00:00;9806;3518;21;6267;550179
05.11.2021 00:00:00;9726;3989;26;5711;473302
06.11.2021 00:00:00;8144;3986;20;4138;414915
07.11.2021 00:00:00;8037;4269;18;3750;397268
08.11.2021 00:00:00;7772;4504;26;3242;380970
09.11.2021 00:00:00;11992;5521;29;6442;454958
10.11.2021 00:00:00;13257;5163;24;8070;346999
11.11.2021 00:00:00;10617;5272;49;5296;725954
12.11.2021 00:00:00;12683;5667;45;6971;445216
13.11.2021 00:00:00;11458;6462;45;4951;381534
14.11.2021 00:00:00;11242;6172;41;5029;323413
15.11.2021 00:00:00;10991;7033;37;3921;399798
16.11.2021 00:00:00;16512;7552;37;8923;464540
17.11.2021 00:00:00;15065;8006;44;7015;593434
18.11.2021 00:00:00;14933;8405;42;6486;553894
19.11.2021 00:00:00;14147;8855;51;5241;552269
20.11.2021 00:00:00;14147;9765;37;4345;430547
21.11.2021 00:00:00;11697;9431;53;2213;524203
22.11.2021 00:00:00;12001;10328;55;1618;354947
23.11.2021 00:00:00;14541;12339;53;2149;428955
24.11.2021 00:00:00;14509;12091;43;2375;368068
25.11.2021 00:00:00;12147;13194;54;-1101;619654
26.11.2021 00:00:00;12072;13348;60;-1336;606176
27.11.2021 00:00:00;9643;13268;46;-3671;346928
28.11.2021 00:00:00;7997;11943;53;-3999;268213
29.11.2021 00:00:00;8125;12906;65;-4846;285534
30.11.2021 00:00:00;10991;14091;38;-3138;469103
01.12.2021 00:00:00;8770;13270;57;-4557;491554
02.12.2021 00:00:00;7269;12475;52;-5258;466309
03.12.2021 00:00:00;6311;13326;55;-7070;400321
04.12.2021 00:00:00;5333;11418;42;-6127;296446
05.12.2021 00:00:00;4314;9859;34;-5579;292422
06.12.2021 00:00:00;4512;9969;36;-5493;380547
07.12.2021 00:00:00;6164;12133;41;-6010;387914
08.12.2021 00:00:00;4362;9961;39;-5638;395681
09.12.2021 00:00:00;3113;9213;25;-6125;301881
